web-scraper-order,web-scraper-start-url,link,link-href,salary,location,skills,load,load-href,name
1571577855-459,https://www.careerbuilder.com/jobs?utf8=%E2%9C%93&keywords=data+analyst&location=,"9 days ago
Data Analyst

System One
Denver
Contractor


System One is currently seeking a Data Analyst on a 6 month contract position for a major utility located in Denver, CO. Data Analyst Responsibilities: Responsible for analyzing data from SAP, Smal...
$41.25 - $57.25 / hour


Easy Apply",https://www.careerbuilder.com/job/J3T5KN6MFHZHFZ58L68?ipath=CRJR23,$49 ,Denver,Microsoft Access,,,Data Analyst
1571577853-451,https://www.careerbuilder.com/jobs?utf8=%E2%9C%93&keywords=data+analyst&location=,"6 days ago
Data Analyst

Ultimate
Orlando
Full Time


The Data Analyst assists the Medical Economics Manager in providing knowledge to acquire, manage, and analyze data and reports. They support the analytical, Network and in Office staff and projects...
$40,000 - $55,000 / year


Easy Apply",https://www.careerbuilder.com/job/J3S2MT6J915VX606B86?ipath=CRJR24,$48K,Orlando,Medicare Advantage,,,Data Analyst
1571577878-525,https://www.careerbuilder.com/jobs?utf8=%E2%9C%93&keywords=data+analyst&location=,"4 days ago
Data Analyst II

Clayton Homes
Maryville
Full Time


We are seeking a skilled Data Analyst to help Clayton answer tough questions with data. The mission for the Data Analytics team is to partner with the business units to provide analyses and tools t...



Easy Apply",https://www.careerbuilder.com/job/J3W3FQ6X50ZHJS0H0DF?ipath=CRJR12,$81K,Maryville,Data Visualization,,,Data Analyst II
1571577860-467,https://www.careerbuilder.com/jobs?utf8=%E2%9C%93&keywords=data+analyst&location=,"4 days ago
Data Analyst

Kforce Technology
Webster
Contractor


Kforce has a client in search of a Data Analyst in Webster, Texas (TX).
Key Responsibilities:
Mine vast aviation data to develop new insights for growth and performance
Merge and transform ...



Easy Apply",https://www.careerbuilder.com/job/J3W5PS6N5CPJMZGGKK5?ipath=CRJR21,$89K,Webster,Data Analysis,,,Data Analyst
1571577882-535,https://www.careerbuilder.com/jobs?utf8=%E2%9C%93&keywords=data+analyst&location=,"I


1 day ago
Master Data Analyst

Integrated Resources, Inc
Bridgewater Township
Contractor


The Master Data Analyst, Trade Operations, is responsible for tasks related to process and data integrity, and project management related to systems enhancements and reporting. The incumbent shall ...



Easy Apply",https://www.careerbuilder.com/job/J3N4NG675G5KLPPPKMH?ipath=CRJR10,$110K,Bridgewater Township,Numbers (Spreadsheet),,,Master Data Analyst
1571577889-552,https://www.careerbuilder.com/jobs?utf8=%E2%9C%93&keywords=data+analyst&location=,"3 days ago
Oracle Data Analyst

MDI Group
Greenville
Full Time


Administer and maintain the performance of Oracle applications including installation, performance tuning, patching, cloning, backups, system administration and upgrades. Administer support and mai...
$100,000 / year


Easy Apply",https://www.careerbuilder.com/job/J3W3VB73VM5FF40WMRP?ipath=CRJR7,$100K,Greenville,R12 (Software),,,Oracle Data Analyst
1571577900-583,https://www.careerbuilder.com/jobs?utf8=%E2%9C%93&keywords=data+analyst&location=,"2 days ago
Data Analyst

Robert Half Technology
Cedar Rapids
Full Time


Do you have a passion for Data, if so I have a great full time opportunity in Cedar Rapids, Iowa. They are looking for a Data Analyst to help generate, convert, and migrate data from files for revi...
$50,000 - $70,000 / year


Easy Apply",https://www.careerbuilder.com/job/J3N0Q76388MRPN14P47?ipath=CRJR2,$60K,Cedar Rapids,Learning,,,Data Analyst
1571577853-449,https://www.careerbuilder.com/jobs?utf8=%E2%9C%93&keywords=data+analyst&location=,"6 days ago
Data Analyst

Ultimate
Orlando
Full Time


The Data Analyst assists the Medical Economics Manager in providing knowledge to acquire, manage, and analyze data and reports. They support the analytical, Network and in Office staff and projects...
$40,000 - $55,000 / year


Easy Apply",https://www.careerbuilder.com/job/J3S2MT6J915VX606B86?ipath=CRJR24,$48K,Orlando,Economics,,,Data Analyst
1571577887-549,https://www.careerbuilder.com/jobs?utf8=%E2%9C%93&keywords=data+analyst&location=,"3 days ago
Data Analyst

Fast Switch, Ltd.
Brea
Contractor


Data Analyst . We are currently seeking a Data Analyst with 3+ years of experience to help a team in Brea, CA. Required Skills: Data Profiling Data Analysis Data Mapping Strong SQL Source-Target Da...



Easy Apply",https://www.careerbuilder.com/job/J3M4WF6M6WNPY41D51N?ipath=CRJR8,$85K,Brea,Switch (Electrical Components),,,Data Analyst
1571577896-569,https://www.careerbuilder.com/jobs?utf8=%E2%9C%93&keywords=data+analyst&location=,"E


3 days ago
Data Analyst

Eliassen Group
Durham
Contractor


Are you a skilled Data Analyst with exceptional SQL skills? Are you interested in working for a leading healthcare organization? If so, we may have the ideal role for you with our client in Durham!...



Easy Apply",https://www.careerbuilder.com/job/J3W3626LTGJ76FLTSXX?ipath=CRJR4,$85K,Durham,Data Analysis,,,Data Analyst
