web-scraper-order,web-scraper-start-url,link,link-href,loadmore,loadmore-href,name,location,salary,skills
1571577527-174,https://www.careerbuilder.com/jobs?utf8=%E2%9C%93&keywords=Data+engineer&location=,"19 days ago
Senior Data Engineer SQL DEVELOPER

A-Line Staffing Solutions
Maryland Heights
Full Time


This position will act as a liaison between IT Architects and IT Analysts to break down a complex system into smaller components and coach/lead a team of Data and Integration Engineers to design an...



Easy Apply",https://www.careerbuilder.com/job/JD67BY61GF4BGFM1057?ipath=CRJR45,Load 25 More Jobs,https://www.careerbuilder.com/jobs?keywords=Data+engineer&location=&page_number=2,Senior Data Engineer SQL DEVELOPER,Maryland Heights,$130K,Data Modeling
1571577542-203,https://www.careerbuilder.com/jobs?utf8=%E2%9C%93&keywords=Data+engineer&location=,"14 days ago
Big Data Engineer

Apex Systems
Rockville
Contractor


OVERVIEW : Apex Systems has an immediate need for a Big Data Engineer to help support several initiatives. The position is on a long term contract basis, with a competitive hourly compensation. The...



Easy Apply",https://www.careerbuilder.com/job/J3N3496CVVX1HZX1PBQ?ipath=CRJR40,Load 25 More Jobs,https://www.careerbuilder.com/jobs?keywords=Data+engineer&location=&page_number=2,Big Data Engineer,Rockville,$140K,Apache Spark
1571577572-285,https://www.careerbuilder.com/jobs?utf8=%E2%9C%93&keywords=Data+engineer&location=,"12 days ago
Big Data Engineer

American Cybersystems, Inc. (ACS Group)
Springfield
Full Time


The Big Data Engineer (BDE) is responsible for building the next generation of web applications and systems focusing on capability delivery to end users. The BDE is a member of a “big data&quot; te...



Easy Apply",https://www.careerbuilder.com/job/J2Y89S6W54HJQCBH0R1?ipath=CRJR27,Load 25 More Jobs,https://www.careerbuilder.com/jobs?keywords=Data+engineer&location=&page_number=2,Big Data Engineer,Springfield,$140K,Apache H Base
1571577583-312,https://www.careerbuilder.com/jobs?utf8=%E2%9C%93&keywords=Data+engineer&location=,"E


8 days ago
Data Engineer

Eliassen Group
Denver
Contractor


Are you a skilled Data Engineer with an interest in leveraging your skills to advance the mission of a forward-thinking organization? If so, we may have the ideal role for you with our client in De...



Easy Apply",https://www.careerbuilder.com/job/J3T73F6G5NNDWB0JX1Z?ipath=CRJR22,,,Data Engineer,Denver,$100K,Application Programming Interface
1571577553-227,https://www.careerbuilder.com/jobs?utf8=%E2%9C%93&keywords=Data+engineer&location=,"17 days ago
Data Engineer 5

ConsultNet
Bluffdale
Contractor


This is a contract position that works with multiple departments throughout the organization to take their data and transform it into information that will allow them to make better decisions. The ...



Easy Apply",https://www.careerbuilder.com/job/J3R7KK6RSZPT5ZPBR9V?ipath=CRJR36,Load 25 More Jobs,https://www.careerbuilder.com/jobs?keywords=Data+engineer&location=&page_number=2,Data Engineer 5,Bluffdale,$97K,Power Bi
1571577527-177,https://www.careerbuilder.com/jobs?utf8=%E2%9C%93&keywords=Data+engineer&location=,"19 days ago
Senior Data Engineer SQL DEVELOPER

A-Line Staffing Solutions
Maryland Heights
Full Time


This position will act as a liaison between IT Architects and IT Analysts to break down a complex system into smaller components and coach/lead a team of Data and Integration Engineers to design an...



Easy Apply",https://www.careerbuilder.com/job/JD67BY61GF4BGFM1057?ipath=CRJR45,Load 25 More Jobs,https://www.careerbuilder.com/jobs?keywords=Data+engineer&location=&page_number=2,Senior Data Engineer SQL DEVELOPER,Maryland Heights,$130K,Extract Transform Load (Etl)
1571577562-254,https://www.careerbuilder.com/jobs?utf8=%E2%9C%93&keywords=Data+engineer&location=,"7 days ago
Full-time position-- Data Engineer

Infovision Consultants Inc
Dallas
Full Time


• 3+ years of experience in SQL and developing SQL server objects e.g., store procedures, tables, triggers, views and functions. • At least 2 years of coding experience in data environments • 3+ ye...



Easy Apply",https://www.careerbuilder.com/job/J314MS69TVW3W9PH7G3?ipath=CRJR32,Load 25 More Jobs,https://www.careerbuilder.com/jobs?keywords=Data+engineer&location=&page_number=2,Full-time position-- Data Engineer,Dallas,$59K,Data Pipeline
1571577517-148,https://www.careerbuilder.com/jobs?utf8=%E2%9C%93&keywords=Data+engineer&location=,"25 days ago
Oracle Data Engineer

A-Line Staffing Solutions
Boston
Full Time


Asset Management Technology (AMT) is looking for an Oracle Data Engineer focused on our data tier to support as we design, build and advance our Managed Accounts capability. We are looking for indi...



Easy Apply",https://www.careerbuilder.com/job/JDD06Z76NS4M0JSXVHY?ipath=CRJR50,Load 25 More Jobs,https://www.careerbuilder.com/jobs?keywords=Data+engineer&location=&page_number=2,Oracle Data Engineer,Boston,$130K,Agile Software Development
1571577611-335,https://www.careerbuilder.com/jobs?utf8=%E2%9C%93&keywords=Data+engineer&location=,"5 days ago
Data Engineer

Apex Systems
Minneapolis
Contractor


Apex Systems is an equal opportunity employer. We do not discriminate or allow discrimination on the basis of race, color, religion, creed, sex (including pregnancy, childbirth, breastfeeding, or r...



Easy Apply",https://www.careerbuilder.com/job/J3N41975BSGS00M00Q2?ipath=CRJR18,,,Data Engineer,Minneapolis,$100K,Finance
1571577542-204,https://www.careerbuilder.com/jobs?utf8=%E2%9C%93&keywords=Data+engineer&location=,"14 days ago
Big Data Engineer

Apex Systems
Rockville
Contractor


OVERVIEW : Apex Systems has an immediate need for a Big Data Engineer to help support several initiatives. The position is on a long term contract basis, with a competitive hourly compensation. The...



Easy Apply",https://www.careerbuilder.com/job/J3N3496CVVX1HZX1PBQ?ipath=CRJR40,Load 25 More Jobs,https://www.careerbuilder.com/jobs?keywords=Data+engineer&location=&page_number=2,Big Data Engineer,Rockville,$140K,Big Data
